timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.841215,handshake,0.05,1
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.840913,handshake,0.07,1
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.842847,handshake,0.03,1
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.841620,handshake,0.03,1
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.843585,handshake,0.04,1
2025-09-17T21:33:18.842370,handshake,0.03,1
2025-09-17T21:33:18.846768,handshake,0.03,1
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.843923,handshake,0.03,1
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.844187,handshake,0.04,1
2025-09-17T21:33:18.848293,handshake,0.03,1
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.843295,handshake,0.03,1
2025-09-17T21:33:18.846978,handshake,0.03,1
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:33:18.844436,handshake,0.03,1
2025-09-17T21:33:18.844842,handshake,0.04,1
2025-09-17T21:33:18.846581,handshake,0.03,1
2025-09-17T21:33:18.845933,handshake,0.03,1
2025-09-17T21:33:18.841832,handshake,0.03,1
2025-09-17T21:33:18.846216,handshake,0.03,1
2025-09-17T21:33:18.856559,handshake,0.04,1
2025-09-17T21:33:18.863582,handshake,0.04,1
2025-09-17T21:33:18.857793,handshake,0.05,1
2025-09-17T21:33:18.872641,handshake,0.03,1
2025-09-17T21:33:18.859079,handshake,0.05,1
2025-09-17T21:33:18.853863,handshake,0.03,1
2025-09-17T21:33:18.856456,handshake,0.03,1
2025-09-17T21:33:18.868113,handshake,0.05,1
2025-09-17T21:33:18.858085,handshake,0.05,1
2025-09-17T21:33:18.862036,handshake,0.03,1
2025-09-17T21:33:18.849437,handshake,0.03,1
2025-09-17T21:33:18.847525,handshake,0.03,1
2025-09-17T21:33:18.869342,handshake,0.03,1
2025-09-17T21:33:18.864153,handshake,0.05,1
2025-09-17T21:33:18.866610,handshake,0.03,1
2025-09-17T21:33:18.870599,handshake,0.04,1
2025-09-17T21:33:18.865887,handshake,0.06,1
2025-09-17T21:33:18.873692,handshake,0.03,1
2025-09-17T21:33:18.869475,handshake,0.03,1
2025-09-17T21:33:18.874101,handshake,0.03,1
2025-09-17T21:33:18.867692,handshake,0.03,1
2025-09-17T21:33:18.861054,handshake,0.07,1
2025-09-17T21:33:18.860552,handshake,0.04,1
2025-09-17T21:33:18.860891,handshake,0.04,1
2025-09-17T21:33:18.861324,handshake,0.03,1
2025-09-17T21:33:18.864736,handshake,0.06,1
2025-09-17T21:33:18.874717,handshake,0.03,1
2025-09-17T21:33:18.859958,handshake,0.05,1
2025-09-17T21:33:18.872772,handshake,0.03,1
2025-09-17T21:33:18.861636,handshake,0.04,1
2025-09-17T21:33:18.865516,handshake,0.03,1
2025-09-17T21:33:18.870451,handshake,0.03,1
2025-09-17T21:33:18.865019,handshake,0.04,1
2025-09-17T21:33:18.869810,handshake,0.03,1
2025-09-17T21:33:18.866193,handshake,0.03,1
2025-09-17T21:33:18.855065,handshake,0.05,1
2025-09-17T21:33:18.859235,handshake,0.03,1
2025-09-17T21:33:18.862362,handshake,0.04,1
2025-09-17T21:33:18.868284,handshake,0.03,1
2025-09-17T21:33:18.862656,handshake,0.03,1
2025-09-17T21:33:18.858921,handshake,0.05,1
2025-09-17T21:33:18.857320,handshake,0.05,1
2025-09-17T21:33:18.863211,handshake,0.05,1
2025-09-17T21:33:18.867529,handshake,0.03,1
2025-09-17T21:33:18.873520,handshake,0.03,1
2025-09-17T21:33:18.873241,handshake,0.04,1
2025-09-17T21:33:18.869092,handshake,0.12,1
2025-09-17T21:33:18.867847,handshake,0.03,1
2025-09-17T21:33:18.857651,handshake,0.05,1
2025-09-17T21:33:18.855647,handshake,0.03,1
2025-09-17T21:33:18.868768,handshake,0.03,1
2025-09-17T21:33:18.873097,handshake,0.03,1
2025-09-17T21:33:18.871708,handshake,0.03,1
2025-09-17T21:33:18.858415,handshake,0.05,1
2025-09-17T21:33:18.862200,handshake,0.06,1
2025-09-17T21:33:18.865636,handshake,0.04,1
2025-09-17T21:33:18.861191,handshake,0.05,1
2025-09-17T21:33:18.863722,handshake,0.12,1
2025-09-17T21:33:18.879823,handshake,0.03,1
2025-09-17T21:33:18.867102,handshake,0.05,1
2025-09-17T21:33:18.860259,handshake,0.04,1
2025-09-17T21:33:18.864419,handshake,0.05,1
2025-09-17T21:33:18.863045,handshake,0.05,1
2025-09-17T21:33:18.865134,handshake,0.03,1
2025-09-17T21:33:18.874559,handshake,0.03,1
2025-09-17T21:33:18.863831,handshake,0.04,1
2025-09-17T21:33:18.857481,handshake,0.04,1
2025-09-17T21:33:18.856115,handshake,0.03,1
2025-09-17T21:33:18.869626,handshake,0.03,1
2025-09-17T21:33:18.865762,handshake,0.06,1
2025-09-17T21:33:18.870280,handshake,0.04,1
2025-09-17T21:33:18.869943,handshake,0.03,1
2025-09-17T21:33:18.873849,handshake,0.03,1
2025-09-17T21:33:18.866498,handshake,0.03,1
2025-09-17T21:33:18.873381,handshake,0.03,1
2025-09-17T21:33:18.872029,handshake,0.04,1
2025-09-17T21:33:18.856296,handshake,0.03,1
2025-09-17T21:33:18.855880,handshake,0.03,1
2025-09-17T21:33:18.866812,handshake,0.03,1
2025-09-17T21:33:18.874409,handshake,0.04,1
2025-09-17T21:33:18.862507,handshake,0.03,1
2025-09-17T21:33:18.864530,handshake,0.05,1
2025-09-17T21:33:18.870734,handshake,0.04,1
2025-09-17T21:33:18.872192,handshake,0.05,1
2025-09-17T21:33:18.870095,handshake,0.03,1
2025-09-17T21:33:18.859560,handshake,0.06,1
2025-09-17T21:33:18.856808,handshake,0.03,1
2025-09-17T21:33:18.858766,handshake,0.06,1
2025-09-17T21:33:18.866050,handshake,0.04,1
2025-09-17T21:33:18.860106,handshake,0.04,1
2025-09-17T21:33:18.874244,handshake,0.03,1
2025-09-17T21:33:18.865244,handshake,0.06,1
2025-09-17T21:33:18.859371,handshake,0.04,1
2025-09-17T21:33:18.868929,handshake,0.03,1
2025-09-17T21:33:18.859456,handshake,0.04,1
2025-09-17T21:33:18.863318,handshake,0.06,1
2025-09-17T21:33:18.865372,handshake,0.05,1
2025-09-17T21:33:18.860664,handshake,0.04,1
2025-09-17T21:33:18.871511,handshake,0.05,1
2025-09-17T21:33:18.863432,handshake,0.07,1
2025-09-17T21:33:18.861491,handshake,0.04,1
2025-09-17T21:33:18.874850,handshake,0.03,1
2025-09-17T21:33:18.859826,handshake,0.05,1
2025-09-17T21:33:18.851644,handshake,0.03,1
2025-09-17T21:33:18.866336,handshake,0.03,1
2025-09-17T21:33:18.862922,handshake,0.03,1
2025-09-17T21:33:18.857105,handshake,0.05,1
2025-09-17T21:33:18.872526,handshake,0.03,1
2025-09-17T21:33:18.871897,handshake,0.04,1
2025-09-17T21:33:18.863975,handshake,0.05,1
2025-09-17T21:33:18.870919,handshake,0.03,1
2025-09-17T21:33:18.871214,handshake,0.14,1
2025-09-17T21:33:18.867372,handshake,0.03,1
2025-09-17T21:33:18.855245,handshake,0.05,1
2025-09-17T21:33:18.855423,handshake,0.03,1
2025-09-17T21:33:18.869214,handshake,0.03,1
2025-09-17T21:33:18.875111,handshake,0.03,1
2025-09-17T21:33:18.880824,handshake,0.03,1
2025-09-17T21:33:18.871369,handshake,0.04,1
2025-09-17T21:33:18.867223,handshake,0.03,1
2025-09-17T21:33:18.864289,handshake,0.05,1
2025-09-17T21:33:18.880545,handshake,0.04,1
2025-09-17T21:33:18.868473,handshake,0.03,1
2025-09-17T21:33:18.872360,handshake,0.03,1
2025-09-17T21:33:18.868623,handshake,0.03,1
2025-09-17T21:33:18.935201,handshake,0.03,1
2025-09-17T21:33:18.859708,handshake,0.05,1
2025-09-17T21:33:18.881458,handshake,0.03,1
2025-09-17T21:33:18.880408,handshake,0.03,1
2025-09-17T21:33:18.854518,handshake,0.06,1
2025-09-17T21:33:18.929919,handshake,0.03,1
2025-09-17T21:33:18.861748,handshake,0.04,1
2025-09-17T21:33:18.864883,handshake,0.06,1
2025-09-17T21:33:18.866966,handshake,0.03,1
2025-09-17T21:33:18.891818,handshake,0.04,1
2025-09-17T21:33:18.875015,handshake,0.03,1
2025-09-17T21:33:18.871075,handshake,0.03,1
2025-09-17T21:33:18.867984,handshake,0.03,1
2025-09-17T21:33:18.860403,handshake,0.05,1
2025-09-17T21:33:18.950422,handshake,0.03,1
2025-09-17T21:33:18.975521,handshake,0.03,1
2025-09-17T21:33:18.987636,handshake,0.03,1
2025-09-17T21:33:18.990615,handshake,0.03,1
2025-09-17T21:33:18.994346,handshake,0.03,1
2025-09-17T21:33:18.997852,handshake,0.05,1
2025-09-17T21:33:18.997495,handshake,0.03,1
2025-09-17T21:33:18.999120,handshake,0.03,1
2025-09-17T21:33:18.998890,handshake,0.03,1
2025-09-17T21:33:18.999830,handshake,0.03,1
2025-09-17T21:33:18.999342,handshake,0.03,1
2025-09-17T21:33:18.993506,handshake,0.03,1
2025-09-17T21:33:19.001750,handshake,0.03,1
2025-09-17T21:33:19.002621,handshake,0.03,1
2025-09-17T21:33:19.004506,handshake,0.03,1
2025-09-17T21:33:19.005976,handshake,0.04,1
2025-09-17T21:33:19.007702,handshake,0.03,1
2025-09-17T21:33:19.008432,handshake,0.03,1
2025-09-17T21:33:19.008736,handshake,0.03,1
2025-09-17T21:33:19.009851,handshake,0.03,1
2025-09-17T21:33:19.009172,handshake,0.03,1
2025-09-17T21:33:19.010826,handshake,0.03,1
2025-09-17T21:33:19.011545,handshake,0.03,1
2025-09-17T21:33:19.015998,handshake,0.03,1
2025-09-17T21:33:19.014368,handshake,0.03,1
2025-09-17T21:33:19.012160,handshake,0.03,1
2025-09-17T21:33:19.017240,handshake,0.03,1
2025-09-17T21:33:19.018633,handshake,0.03,1
2025-09-17T21:33:19.016902,handshake,0.03,1
2025-09-17T21:33:19.019902,handshake,0.03,1
2025-09-17T21:33:19.020844,handshake,0.03,1
2025-09-17T21:33:19.022744,handshake,0.03,1
2025-09-17T21:33:19.024290,handshake,0.03,1
2025-09-17T21:33:19.024797,handshake,0.05,1
2025-09-17T21:33:19.026919,handshake,0.07,1
2025-09-17T21:33:19.025556,handshake,0.04,1
2025-09-17T21:33:19.027513,handshake,0.05,1
2025-09-17T21:33:19.028227,handshake,0.04,1
2025-09-17T21:33:19.030466,handshake,0.07,1
2025-09-17T21:33:19.030704,handshake,0.04,1
2025-09-17T21:33:19.029683,handshake,0.04,1
2025-09-17T21:33:19.031877,handshake,0.03,1
2025-09-17T21:33:19.155543,handshake,0.03,1
